n,r,run,valid,path_length,computation_time
200,2,41,0,0,0.00208946
200,2,42,1,16.1688,0.00197683
200,2,43,1,17.3251,0.00204897
200,2,44,1,14.8044,0.00205439
200,2,45,0,0,0.0019467
200,2,46,1,17.9787,0.00196738
200,2,47,1,17.5837,0.00178975
200,2,48,0,0,0.00176473
200,2,49,1,18.672,0.00199818
200,2,50,0,0,0.00198061
200,2,51,0,0,0.00190536
200,2,52,1,18.2679,0.00189796
200,2,53,1,24.9789,0.00153086
200,2,54,1,15.8834,0.00187
200,2,55,1,15.2917,0.0020369
200,2,56,0,0,0.00165634
200,2,57,1,18.8413,0.00171183
200,2,58,1,17.3538,0.00171514
200,2,59,1,15.6894,0.00177965
200,2,60,1,18.9139,0.00174387
200,2,61,0,0,0.00184133
200,2,62,0,0,0.00147339
200,2,63,0,0,0.00162117
200,2,64,0,0,0.00179029
200,2,65,0,0,0.00142935
200,2,66,1,15.7735,0.00197087
200,2,67,0,0,0.001713
200,2,68,1,20.4418,0.0019308
200,2,69,1,15.5563,0.00183371
200,2,70,1,19.4515,0.00189261
200,2,71,0,0,0.00168506
200,2,72,1,17.1985,0.0017437
200,2,73,1,15.922,0.00212774
200,2,74,1,15.8797,0.0018092
200,2,75,1,17.1959,0.00171135
200,2,76,0,0,0.00162688
200,2,77,0,0,0.00168517
200,2,78,0,0,0.0014733
200,2,79,1,16.5627,0.0018458
200,2,80,1,15.1134,0.00212617
200,2,81,1,16.2782,0.00187485
200,2,82,1,16.4417,0.00178459
200,2,83,0,0,0.00157436
200,2,84,1,15.8084,0.00207948
200,2,85,1,15.1209,0.00182709
200,2,86,0,0,0.00159578
200,2,87,1,17.3361,0.00172798
200,2,88,1,15.3025,0.00183334
200,2,89,0,0,0.001674
200,2,90,1,15.2259,0.00180457
200,2,91,0,0,0.00156788
200,2,92,1,16.0028,0.00187359
200,2,93,1,16.1702,0.0017714
200,2,94,1,17.7183,0.00166694
200,2,95,0,0,0.00146106
200,2,96,0,0,0.00164855
200,2,97,1,14.7548,0.00168943
200,2,98,1,17.6583,0.00174427
200,2,99,1,16.047,0.00208241
200,2,100,0,0,0.0019102
500,0.5,1,0,0,0.00203761
500,0.5,2,0,0,0.00201059
500,0.5,3,0,0,0.00198499
500,0.5,4,0,0,0.00194254
500,0.5,5,0,0,0.00205008
500,0.5,6,0,0,0.00191929
500,0.5,7,0,0,0.00206201
500,0.5,8,0,0,0.00186423
500,0.5,9,0,0,0.00198979
500,0.5,10,0,0,0.00218028
500,0.5,11,0,0,0.00261792
500,0.5,12,0,0,0.00230835
500,0.5,13,0,0,0.00198811
500,0.5,14,0,0,0.00211377
500,0.5,15,0,0,0.00228189
500,0.5,16,0,0,0.00202398
500,0.5,17,0,0,0.00268548
500,0.5,18,0,0,0.00213225
500,0.5,19,0,0,0.00208463
500,0.5,20,0,0,0.00190389
500,0.5,21,0,0,0.0017783
500,0.5,22,0,0,0.00189455
500,0.5,23,0,0,0.00186101
500,0.5,24,0,0,0.00193333
500,0.5,25,0,0,0.00195939
500,0.5,26,0,0,0.00204202
500,0.5,27,0,0,0.00219961
500,0.5,28,0,0,0.00190395
500,0.5,29,0,0,0.00186283
500,0.5,30,0,0,0.00193948
500,0.5,31,0,0,0.00177018
500,0.5,32,0,0,0.00173629
500,0.5,33,0,0,0.00183457
500,0.5,34,0,0,0.00184315
500,0.5,35,0,0,0.00177953
500,0.5,36,0,0,0.00187215
500,0.5,37,0,0,0.00195882
500,0.5,38,0,0,0.00193254
500,0.5,39,0,0,0.00187846
500,0.5,40,0,0,0.00195774
500,0.5,41,0,0,0.00177887
500,0.5,42,0,0,0.00185154
500,0.5,43,0,0,0.00180868
500,0.5,44,0,0,0.00184883
500,0.5,45,0,0,0.00187425
500,0.5,46,0,0,0.00189073
500,0.5,47,0,0,0.00183804
500,0.5,48,0,0,0.00202807
500,0.5,49,0,0,0.00193432
500,0.5,50,0,0,0.00198341
500,0.5,51,0,0,0.00188071
500,0.5,52,0,0,0.00189668
500,0.5,53,0,0,0.00202816
500,0.5,54,0,0,0.00187446
500,0.5,55,0,0,0.00173725
500,0.5,56,0,0,0.00176018
500,0.5,57,0,0,0.00194133
500,0.5,58,0,0,0.00180254
500,0.5,59,0,0,0.00185498
500,0.5,60,0,0,0.00186058
500,0.5,61,0,0,0.00202801
500,0.5,62,0,0,0.00199206
500,0.5,63,0,0,0.00192567
500,0.5,64,0,0,0.00275144
500,0.5,65,0,0,0.00201606
500,0.5,66,0,0,0.00200991
500,0.5,67,0,0,0.00195273
500,0.5,68,0,0,0.0019915
500,0.5,69,0,0,0.00184493
500,0.5,70,0,0,0.0019424
500,0.5,71,0,0,0.00185658
500,0.5,72,0,0,0.00191105
500,0.5,73,0,0,0.00192825
500,0.5,74,0,0,0.00186859
500,0.5,75,0,0,0.0017782
500,0.5,76,0,0,0.00187291
500,0.5,77,0,0,0.0019039
500,0.5,78,0,0,0.00183297
500,0.5,79,0,0,0.00190588
500,0.5,80,0,0,0.0019342
500,0.5,81,0,0,0.00216756
500,0.5,82,0,0,0.00197308
500,0.5,83,0,0,0.00205229
500,0.5,84,0,0,0.0018567
500,0.5,85,0,0,0.00177786
500,0.5,86,0,0,0.00189801
500,0.5,87,0,0,0.00202468
500,0.5,88,0,0,0.00187105
500,0.5,89,0,0,0.00219308
500,0.5,90,0,0,0.00192062
500,0.5,91,0,0,0.00195815
500,0.5,92,0,0,0.00194592
500,0.5,93,0,0,0.00201143
500,0.5,94,0,0,0.00197265
500,0.5,95,0,0,0.0018494
500,0.5,96,0,0,0.00185466
500,0.5,97,0,0,0.00189312
500,0.5,98,0,0,0.00190816
500,0.5,99,0,0,0.00201109
500,0.5,100,0,0,0.00189864
500,1,1,0,0,0.0037271
500,1,2,0,0,0.0041809
500,1,3,0,0,0.00360455
500,1,4,1,23.1347,0.00418823
500,1,5,0,0,0.0043713
500,1,6,1,19.2165,0.00435467
500,1,7,0,0,0.00378663
500,1,8,0,0,0.00415718
500,1,9,1,15.9878,0.0040009
500,1,10,0,0,0.00451774
500,1,11,0,0,0.00429452
500,1,12,0,0,0.00406215
500,1,13,1,21.4213,0.00431423
500,1,14,1,16.8796,0.00404794
500,1,15,0,0,0.00387468
500,1,16,0,0,0.00356452
500,1,17,0,0,0.00447403
500,1,18,1,22.4473,0.00413571
500,1,19,0,0,0.00374551
500,1,20,0,0,0.00386684
500,1,21,0,0,0.00404234
500,1,22,1,18.844,0.00420984
500,1,23,1,18.7069,0.0036769
500,1,24,0,0,0.00353122
500,1,25,1,17.8525,0.00431255
500,1,26,0,0,0.00379769
500,1,27,0,0,0.00390899
500,1,28,1,20.6418,0.00404295
500,1,29,1,17.9787,0.00414686
500,1,30,0,0,0.00395946
500,1,31,1,20.8028,0.00411802
500,1,32,0,0,0.00448908
500,1,33,0,0,0.00409118
500,1,34,0,0,0.00478043
500,1,35,0,0,0.00445676
500,1,36,1,22.0574,0.00417
500,1,37,0,0,0.00406034
500,1,38,0,0,0.00395468
500,1,39,0,0,0.00418223
500,1,40,0,0,0.0042055
500,1,41,1,19.7119,0.00438585
500,1,42,0,0,0.00416617
500,1,43,0,0,0.00473724
500,1,44,0,0,0.00808736
500,1,45,1,16.9659,0.00480996
500,1,46,0,0,0.0049755
500,1,47,1,19.8649,0.00538658
500,1,48,1,16.6775,0.00482847
500,1,49,1,23.0142,0.00471267
500,1,50,0,0,0.0044061
500,1,51,0,0,0.0042328
500,1,52,0,0,0.00393344
500,1,53,1,16.9391,0.00441067
500,1,54,1,23.1856,0.00412126
500,1,55,0,0,0.00427563
500,1,56,0,0,0.0038819
500,1,57,0,0,0.00399377
500,1,58,1,19.3271,0.00411086
500,1,59,1,23.2851,0.00420679
500,1,60,1,19.2639,0.00393436
500,1,61,0,0,0.00343714
500,1,62,1,17.4379,0.00385925
500,1,63,1,17.9603,0.00410993
500,1,64,0,0,0.00384488
500,1,65,1,19.093,0.00407617
500,1,66,0,0,0.00361161
500,1,67,0,0,0.00443256
500,1,68,0,0,0.00400045
500,1,69,0,0,0.00402251
500,1,70,0,0,0.00397061
500,1,71,1,19.97,0.00422238
500,1,72,0,0,0.0045015
500,1,73,0,0,0.00373598
500,1,74,1,17.6278,0.00389432
500,1,75,0,0,0.0041228
500,1,76,0,0,0.00415087
500,1,77,0,0,0.00387019
500,1,78,0,0,0.00355869
500,1,79,0,0,0.00405097
500,1,80,0,0,0.00380879
500,1,81,0,0,0.00419297
500,1,82,1,24.5403,0.0040776
500,1,83,0,0,0.00395033
500,1,84,0,0,0.00389148
500,1,85,1,18.3389,0.00404044
500,1,86,1,18.3628,0.00425687
500,1,87,1,17.6977,0.00376533
500,1,88,1,32.0561,0.00418703
500,1,89,0,0,0.00404394
500,1,90,1,17.3668,0.00411555
500,1,91,0,0,0.00381008
500,1,92,0,0,0.00383058
500,1,93,1,17.7623,0.00393759
500,1,94,0,0,0.00390883
500,1,95,0,0,0.00396204
500,1,96,0,0,0.00395686
500,1,97,0,0,0.00396139
500,1,98,0,0,0.0042316
500,1,99,1,17.7994,0.00398266
500,1,100,0,0,0.00410724
500,1.5,1,1,15.6094,0.0071857
500,1.5,2,1,15.469,0.00979772
500,1.5,3,1,15.3448,0.00764649
500,1.5,4,1,16.2556,0.00762978
500,1.5,5,1,14.9912,0.00725795
500,1.5,6,1,15.9819,0.00724365
500,1.5,7,1,16.6255,0.00724609
500,1.5,8,1,15.2372,0.00781505
500,1.5,9,1,15.2113,0.00756808
500,1.5,10,1,16.3576,0.00726608
500,1.5,11,0,0,0.00649361
500,1.5,12,1,16.5125,0.00725131
500,1.5,13,1,14.802,0.00731746
500,1.5,14,1,15.4329,0.00709389
500,1.5,15,1,15.0642,0.00726125
500,1.5,16,1,15.5787,0.00752873
500,1.5,17,1,15.1751,0.00722039
500,1.5,18,1,15.6654,0.00733433
500,1.5,19,1,14.8616,0.00752449
500,1.5,20,1,15.0838,0.00691428
500,1.5,21,1,15.9111,0.00672537
500,1.5,22,1,15.3537,0.00713263
500,1.5,23,1,15.6234,0.00717653
500,1.5,24,1,15.0341,0.00711153
500,1.5,25,0,0,0.00700525
500,1.5,26,1,15.2675,0.00714864
500,1.5,27,1,15.9558,0.00738137
500,1.5,28,0,0,0.00717362
500,1.5,29,1,23.0326,0.00668308
500,1.5,30,1,15.6176,0.00698186
500,1.5,31,1,16.0082,0.00710445
500,1.5,32,1,15.0701,0.0075015
500,1.5,33,1,14.6655,0.00737353
500,1.5,34,1,15.2169,0.00682194
500,1.5,35,1,15.9466,0.00669276
500,1.5,36,1,16.4052,0.0079454
500,1.5,37,1,15.3312,0.00789499
500,1.5,38,1,15.16,0.00706216
500,1.5,39,1,15.3843,0.00791585
500,1.5,40,1,15.5134,0.00739722
